gridref,region_code,allocated,nyrs,firstyear,lastyear
NH7325,INVE,Y,25,1998,2023
NH7337,INVE,Y,9,2011,2024
NH7433,INVE,Y,6,2018,2024
NH7589,ROSS,N,21,1994,2018
NH7728,INVE,Y,18,1994,2024
NH7738,INVE,N,12,2006,2018
NH7749,INVE,N,8,2007,2017
NH7839,INVE,Y,9,2015,2024
NH8014,INVE,Y,12,1995,2024
NH8119,INVE,Y,20,1994,2024
NH8175,ROSS,Y,14,2005,2019
NH8246,MORA,Y,5,2007,2021
NH8740,MORA,N,3,2007,2009
NH8816,INVE,N,3,2007,2009
NH8900,INVE,Y,5,2016,2021
NH8901,INVE,Y,8,2015,2022
NH8940,MORA,N,17,1994,2017
NH9055,MORA,N,8,2014,2021
NH9110,INVE,Y,3,2011,2024
NH9123,INVE,Y,11,2008,2024
NH9555,MORA,N,3,2007,2023
NH9800,INVE,Y,5,2017,2022
NH9801,INVE,Y,5,2017,2022
NJ0002,MORA,Y,16,1994,2024
NJ0059,MORA,N,10,1994,2022
NJ0063,MORA,Y,27,1994,2024
NJ0432,INVE,Y,7,2014,2024
NJ0521,INVE,Y,5,2007,2021
NJ0564,MORA,Y,7,2013,2022
NJ0631,INVE,Y,12,2007,2018
NJ0659,MORA,N,27,1994,2021
NJ0733,INVE,Y,17,1994,2014
NJ0905,MORA,Y,5,2018,2024
NJ1027,MORA,Y,8,2013,2024
NJ1164,MORA,N,4,2014,2022
NJ1339,MORA,Y,6,2014,2024
NJ1346,MORA,N,10,2007,2022
NJ1715,MORA,Y,6,1994,2024
NJ1905,MORA,Y,6,2018,2024
NJ1965,MORA,Y,15,1994,2024
NJ2010,MORA,Y,7,2017,2024
NJ2356,MORA,Y,14,2007,2024
NJ2362,MORA,Y,14,1994,2023
NJ2430,MORA,Y,6,2007,2024
NJ2459,MORA,Y,11,2007,2022
NJ2733,MORA,Y,8,1994,2023
NJ2748,MORA,Y,7,1995,2023
NJ3106,ABER,Y,7,2017,2024
NJ3107,ABER,Y,16,1995,2024
NJ3127,MORA,Y,5,2018,2024
NJ3161,MORA,Y,6,2007,2023
NJ3324,MORA,N,8,2009,2016
NJ3352,MORA,Y,29,1994,2024
NJ3441,MORA,N,3,2007,2009
NJ3659,MORA,Y,12,2007,2024
NJ3911,ABER,Y,17,2007,2024
NJ3940,MORA,Y,27,1996,2023
NJ3962,MORA,Y,10,2015,2024
NJ4054,MORA,N,8,2013,2021
NJ4118,ABER,N,1,2018,2018
NJ4121,ABER,Y,3,2021,2024
NJ4122,ABER,Y,13,1995,2024
NJ4263,MORA,N,3,2014,2016
NJ4432,ABER,Y,2,2018,2021
NJ4557,MORA,Y,16,2007,2024
NJ4663,MORA,N,5,1994,1998
NJ4767,MORA,Y,2,2023,2024
NJ4808,KINC,N,18,1994,2018
NJ4907,KINC,N,16,1994,2018
NJ5210,ABER,N,6,1997,2013
NJ5726,ABER,Y,26,1995,2024
NJ5754,ABER,Y,12,1996,2012
NJ5763,ABER,N,3,1994,1996
NJ6003,KINC,Y,3,2021,2023
NJ6138,ABER,N,4,1994,2016
NJ6210,ABER,Y,14,1999,2024
NJ6337,ABER,N,13,1998,2018
NJ6348,ABER,Y,13,1996,2023
NJ6433,ABER,Y,6,2017,2024
NJ6740,ABER,N,5,1994,2016
NJ6741,ABER,N,3,1996,2015
NJ7006,KINC,Y,11,1994,2024
NJ7248,ABER,N,3,1996,2007
NJ7302,KINC,Y,7,2007,2024
NJ7359,ABER,Y,18,1994,2024
NJ7429,ABER,N,11,1994,2018
NJ7520,ABER,Y,6,2018,2023
NJ7523,ABER,Y,3,2022,2024
NJ7702,KINC,Y,17,2006,2023
NJ7706,KINC,Y,12,2013,2024
NJ7904,KINC,Y,16,2005,2023
NJ7924,ABER,Y,20,1994,2024
NJ8217,ABER,Y,1,2024,2024
NJ8221,ABER,Y,4,1997,2024
NJ8250,ABER,N,8,1994,2007
NJ8445,ABER,N,5,1997,2007
NJ8556,ABER,N,4,1995,1999
NJ8561,ABER,N,7,1994,2007
NJ8619,ABER,N,21,1994,2018
NJ8625,ABER,N,8,2003,2010
NJ8735,ABER,Y,23,1995,2024
NJ8921,ABER,Y,7,2017,2024
NJ9011,ABER,Y,21,1994,2024
NJ9044,ABER,Y,3,2022,2024
NJ9206,ABER,Y,6,2017,2024
NJ9260,ABER,Y,14,1994,2024
NJ9302,ABER,Y,31,1994,2024
NJ9442,ABER,N,13,1994,2014
NJ9451,ABER,Y,22,1994,2023
NJ9630,ABER,Y,5,2005,2023
NJ9645,ABER,N,22,1994,2016
NJ9750,ABER,Y,16,2003,2021
